,-277,803,272
4940,-221,631,246
4945,-109,661,241
4950,-8,-828,239
4955,186,-450,361
4960,-253,973,269
4965,2,104,205
4970,29,-1024,146
4975,134,5,281
4980,-261,920,227
4985,89,-394,275
4990,200,-906,232
4995,-173,554,248
5000,-141,715,247
5005,-39,-713,274
5010,225,-515,333
5015,-283,849,273
[FEATURES] f0=-34655 f1=147957 f2=151961 f3=-338000 f4=248000 f5=586000 f6=122050 f7=-7220 f8=690905 f9=690943 f10=-1024000 f11=1014000 f12=2038000 f13=612995 f14=248660 f15=46891 f16=253042 f17=146000 f18=368000 f19=222000 f20=35149
[SCALED_FEATURES] f0=-1114 f1=1647 f2=1710 f3=-2313 f4=1694 f5=2026 f6=1584 f7=18 f8=3001 f9=3006 f10=-3195 f11=3080 f12=3146 f13=2920 f14=-969 f15=-78 f16=-527 f17=-293 f18=167 f19=230 f20=-180
[FEATURES_X] mean=-34655 std=147957 rms=151961 min=-338000 max=248000 p2p=586000 mad=122050
[FEATURES_Y] mean=-7220 std=690905 rms=690943 min=-1024000 max=1014000 p2p=2038000 mad=612995
[FEATURES_Z] mean=248660 std=46891 rms=253042 min=146000 max=368000 p2p=222000 mad=35149
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-7308,13453,-3130,-3013]
[CLASS_STATS] condition=rotor_unbalance total_windows=5
predicted_count=[0,5,0,0]
correct_windows=5
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
5121,105,-371,175
5123,103,-908,219
5126,103,-908,219
5128,-143,475,232
5131,-143,475,232
5133,-174,799,258
5136,-174,799,258
5139,-14,-621,288
5141,-14,-621,288
5144,232,-559,316
5146,232,-559,316
5149,-163,822,274
5151,-163,822,274
5154,-47,466,278
5156,-47,466,278
5159,-34,-936,219
5162,-34,-936,219
5164,201,-234,370
5167,201,-234,370
5169,-280,916,259
5172,-280,916,259
5174,28,-25,176
5177,28,-25,176
5179,32,-1024,165
5182,32,-1024,165
5184,-38,119,261
5187,-38,119,261
5189,-217,927,233
5192,-217,927,233
5194,126,-479,249
5197,126,-479,249
5200,144,-870,223
5202,144,-870,223
5205,-142,595,238
5207,-142,595,238
5210,-122,669,250
5212,-122,669,250
5215,5,-695,273
5217,5,-695,273
5220,257,-518,381
5222,257,-518,381
5225,-222,936,272
5230,2,300,292
5235,-27,-1024,171
5240,154,-35,307
5245,-284,960,250
5250,80,-230,148
5255,87,-982,207
5260,-92,336,240
5265,-213,895,241
5270,66,-557,329
5275,201,-749,267
5280,-236,813,294
5285,-51,510,243
5290,-26,-915,221
5295,159,-283,340
5300,-232,949,274
5305,6,33,184
5310,6,33,184
5315,23,-1024,149
5320,-24,122,260
5325,-217,868,227
5330,98,-458,256
5335,171,-805,227
5340,-171,566,236
5345,-115,715,264
5350,-10,-686,285
5355,187,-525,329
5360,-285,974,258
5365,66,187,274
5370,-46,-1024,158
5375,45,-102,281
5380,-283,991,265
5385,86,-193,176
5390,98,-976,192
5395,-116,309,240
5400,-201,840,264
5405,15,-550,321
5410,212,-638,269
5415,-214,779,279
5420,-50,526,273
5425,-22,-915,216
5430,143,-284,355
5435,-307,961,242
5440,-19,-45,186
5445,13,-1024,157
5450,-48,126,247
5455,-228,919,221
5460,115,-499,280
5465,179,-783,244
5470,-200,522,238
5475,-101,685,261
5480,-8,-661,286
5485,200,-566,346
5490,-230,870,276
5495,-28,269,243
5500,-45,-979,168
5505,95,-100,294
5510,-285,971,234
5515,55,-188,190
5520,69,-1018,189
5525,-61,267,258
5530,-207,893,223
5535,50,-568,311
5540,196,-678,258
5545,-210,635,268
5550,-119,660,247
5555,-13,-790,258
5560,155,-434,378
5565,-249,943,262
5570,-37,117,205
5575,-37,117,205
5580,17,-1024,150
5585,72,17,279
5590,-229,912,249
5595,129,-367,231
5600,146,-873,234
5605,-111,474,254
5610,-177,803,264
5615,-10,-589,295
5620,207,-650,304
5625,-284,797,261
5630,-5,432,260
5635,-14,-958,194
5640,158,-247,322
